window_id,feat_mean,feat_std,feat_ptp,true_label,pred_label,modality
1,0.041,0.732,1.0117,drowsy,drowsy,EEG
2,0.8295,0.4246,1.0463,drowsy,drowsy,EEG
3,-1.0736,0.6085,1.6125,alert,drowsy,EEG
4,0.3643,0.7509,1.2827,alert,alert,EEG
5,-0.829,0.5817,1.6599,alert,alert,EEG
6,0.2017,0.4991,1.1596,alert,alert,EEG
7,0.8602,0.5892,0.5585,alert,alert,EEG
8,-2.1295,0.3593,0.9213,drowsy,drowsy,EEG
9,-1.1145,0.3885,0.4899,alert,alert,EEG
10,-0.369,0.2872,1.1585,alert,alert,EEG
11,0.315,0.5614,1.2236,alert,alert,EEG
12,-0.1664,0.4737,0.7342,drowsy,drowsy,EEG
13,-0.0459,0.3354,0.8033,drowsy,drowsy,EEG
14,2.043,0.4672,1.0446,alert,alert,EEG
15,-1.2125,0.594,0.6406,drowsy,drowsy,EEG
16,1.1355,0.8829,0.6181,drowsy,drowsy,EEG
17,-0.35,0.7024,1.3716,drowsy,drowsy,EEG
18,0.5495,0.0432,1.0344,drowsy,drowsy,EEG
19,2.1289,0.5479,0.8326,drowsy,drowsy,EEG
20,0.6887,0.7859,0.4924,drowsy,drowsy,EEG
21,0.3725,0.2324,1.2557,drowsy,drowsy,EEG
22,1.5991,0.6103,0.7946,alert,alert,EEG
23,1.1248,0.4527,1.5582,alert,alert,EEG
24,-0.7994,0.7301,1.2578,drowsy,drowsy,EEG
25,0.2945,0.5809,0.7576,alert,alert,EEG
26,-1.7175,0.3232,0.7854,alert,alert,EEG
27,-0.5402,0.4598,1.5166,drowsy,drowsy,EEG
28,0.3141,0.4717,0.9747,alert,alert,EEG
29,-0.6021,0.4754,0.846,drowsy,drowsy,EEG
30,0.2734,0.7239,1.0083,drowsy,drowsy,EEG
31,-0.0134,0.3315,0.8446,drowsy,drowsy,EEG
32,0.5364,0.7006,1.0723,alert,alert,EEG
33,-0.4242,0.4396,0.9773,alert,alert,EEG
34,-0.9401,0.5447,1.2627,alert,drowsy,EEG
35,1.4781,0.5145,0.8834,alert,alert,EEG
36,-0.4957,0.4956,0.7346,drowsy,drowsy,EEG
37,0.66,0.4973,0.8953,drowsy,drowsy,EEG
38,1.4352,0.7915,0.8935,alert,alert,EEG
39,0.1627,0.6685,0.9767,drowsy,drowsy,EEG
40,-0.8563,0.4275,1.1904,drowsy,drowsy,EEG
41,-0.1786,0.8166,1.174,alert,alert,EEG
42,1.0175,0.5549,1.3599,drowsy,drowsy,EEG
