window_id,feat_mean,feat_std,feat_ptp,true_label,pred_label,modality
1,-1.0811,0.2755,0.9258,gesture_C,gesture_C,EMG
2,0.6159,0.5765,0.7954,gesture_A,gesture_A,EMG
3,0.5931,0.5333,0.6995,gesture_B,gesture_B,EMG
4,-0.3095,0.5985,0.9157,gesture_B,gesture_B,EMG
5,0.3261,0.5578,1.5393,gesture_C,gesture_C,EMG
6,-1.2511,0.9911,1.1923,gesture_A,gesture_A,EMG
7,0.924,0.3725,0.8286,gesture_A,gesture_A,EMG
8,-0.1849,0.3938,1.1718,gesture_C,gesture_C,EMG
9,-0.5227,0.3754,1.4198,gesture_A,gesture_A,EMG
10,1.049,0.3889,1.2774,gesture_B,gesture_B,EMG
11,-0.7043,0.3725,1.0179,gesture_C,gesture_C,EMG
12,-1.4085,0.7378,0.8059,gesture_C,gesture_C,EMG
13,-1.5566,0.7841,1.2095,gesture_A,gesture_A,EMG
14,0.606,0.3859,1.118,gesture_C,gesture_B,EMG
15,-1.2804,0.3335,1.2686,gesture_A,gesture_B,EMG
16,1.7548,0.5943,1.1906,gesture_A,gesture_A,EMG
17,-2.0819,0.3896,1.3149,gesture_A,gesture_A,EMG
18,1.6965,0.6266,0.8394,gesture_A,gesture_A,EMG
19,0.211,0.5406,1.3952,gesture_A,gesture_B,EMG
20,-0.0967,0.1969,1.0593,gesture_C,gesture_A,EMG
21,-0.5449,0.8095,1.6226,gesture_B,gesture_B,EMG
22,0.3991,0.8592,0.7932,gesture_B,gesture_B,EMG
23,-0.0376,0.3774,1.5208,gesture_C,gesture_C,EMG
24,1.1033,0.4225,1.0594,gesture_C,gesture_C,EMG
25,0.1142,0.5572,0.8046,gesture_B,gesture_B,EMG
26,0.1503,0.5669,0.8548,gesture_B,gesture_A,EMG
27,-0.3636,0.6317,0.9039,gesture_B,gesture_B,EMG
28,-0.0569,0.902,1.1272,gesture_B,gesture_B,EMG
29,0.3078,0.4646,1.1569,gesture_B,gesture_B,EMG
30,-1.7102,0.3403,0.8279,gesture_A,gesture_A,EMG
31,-1.3482,0.2241,0.9927,gesture_C,gesture_C,EMG
32,0.7433,0.3538,1.6427,gesture_A,gesture_A,EMG
33,0.1709,0.4934,1.5183,gesture_B,gesture_B,EMG
34,-0.184,0.8589,1.1309,gesture_B,gesture_B,EMG
35,0.0184,0.3965,1.0114,gesture_B,gesture_B,EMG
36,0.3476,0.5448,1.036,gesture_A,gesture_A,EMG
37,-0.5398,0.4967,1.1841,gesture_A,gesture_A,EMG
38,-0.7783,0.7377,0.6932,gesture_B,gesture_B,EMG
39,0.1958,1.0054,0.9228,gesture_A,gesture_A,EMG
40,-0.9784,0.3938,0.4994,gesture_A,gesture_A,EMG
41,0.4083,0.4021,1.1198,gesture_B,gesture_B,EMG
42,-1.7026,0.7088,1.1942,gesture_A,gesture_A,EMG
43,1.0292,0.6364,0.855,gesture_C,gesture_A,EMG
44,0.4726,0.8693,1.4722,gesture_C,gesture_C,EMG
45,0.256,0.6168,0.6323,gesture_C,gesture_C,EMG
46,0.9827,0.4281,0.5607,gesture_C,gesture_C,EMG
47,1.6655,0.6181,1.0673,gesture_B,gesture_B,EMG
48,1.0144,0.7217,1.3141,gesture_B,gesture_B,EMG
49,-1.8409,0.6641,1.5052,gesture_B,gesture_B,EMG
50,-1.2796,0.6015,0.8623,gesture_C,gesture_C,EMG
51,-0.6248,0.7133,1.3236,gesture_C,gesture_C,EMG
52,0.0261,0.7339,0.9884,gesture_A,gesture_A,EMG
53,0.5177,0.7764,0.9482,gesture_A,gesture_A,EMG
54,-0.7257,0.6297,1.2651,gesture_C,gesture_C,EMG
55,0.1868,0.4666,1.1957,gesture_C,gesture_C,EMG
56,-0.7554,0.5293,0.5271,gesture_C,gesture_C,EMG
57,-0.6115,0.7413,1.443,gesture_C,gesture_C,EMG
58,-1.4067,0.3366,1.414,gesture_A,gesture_A,EMG
59,-0.9232,0.5737,0.8123,gesture_C,gesture_C,EMG
60,-1.3517,0.4213,1.1187,gesture_A,gesture_A,EMG
61,-0.9759,0.5057,1.1482,gesture_C,gesture_C,EMG
62,1.0536,0.7557,1.0782,gesture_C,gesture_C,EMG
63,-0.9494,0.5382,0.8349,gesture_C,gesture_C,EMG
64,2.6324,0.5093,0.7985,gesture_A,gesture_A,EMG
65,0.4933,0.228,0.9923,gesture_A,gesture_A,EMG
66,0.1848,0.6493,1.3518,gesture_B,gesture_B,EMG
67,-0.8584,0.6291,1.1631,gesture_C,gesture_C,EMG
68,0.7003,0.9327,0.8888,gesture_B,gesture_A,EMG
69,-0.5756,0.4384,1.2315,gesture_B,gesture_B,EMG
70,0.122,0.5438,0.1454,gesture_A,gesture_A,EMG
71,2.5601,0.5499,1.3446,gesture_A,gesture_A,EMG
72,-0.0961,0.8155,0.4781,gesture_B,gesture_A,EMG
73,1.1493,0.4809,0.8913,gesture_C,gesture_C,EMG
74,-0.7032,0.5558,0.6641,gesture_A,gesture_A,EMG
75,-0.035,0.6216,0.6116,gesture_C,gesture_C,EMG
76,1.7708,0.5373,1.3482,gesture_C,gesture_A,EMG
77,-0.627,0.4107,0.8597,gesture_B,gesture_B,EMG
78,1.8124,0.5388,1.104,gesture_B,gesture_B,EMG
79,0.7078,0.7147,0.9859,gesture_B,gesture_B,EMG
80,-0.5625,0.2947,1.1431,gesture_B,gesture_B,EMG
81,0.6324,0.5266,1.023,gesture_A,gesture_A,EMG
82,0.9726,0.36,0.6151,gesture_A,gesture_A,EMG
83,0.6218,0.739,1.2989,gesture_B,gesture_B,EMG
84,-1.5702,0.1954,0.8519,gesture_A,gesture_A,EMG
85,-0.7271,0.3882,0.533,gesture_B,gesture_B,EMG
86,-0.2475,0.5754,0.8716,gesture_C,gesture_C,EMG
87,-0.0744,0.8131,1.4502,gesture_C,gesture_C,EMG
88,0.6207,0.4868,1.2551,gesture_C,gesture_C,EMG
89,0.1777,0.389,0.8954,gesture_B,gesture_B,EMG
90,-1.3353,0.8762,0.8952,gesture_C,gesture_A,EMG
